Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24,lower,higher
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,10-20 years,Python,,,C,C++,,,,,,MATLAB,,,Python,,,,,Evolutionary Approaches,,,,,,,,40000-49999,40000.0,49999.0
United States of America,Master’s degree,Software Engineer,3-5 years,Python,R,SQL,,C++,,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,150000-199999,150000.0,199999.0
India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,,,
India,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,20000-24999,20000.0,24999.0
Italy,Bachelor’s degree,Student,3-5 years,,,,,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,,,,,,,,,,Python,,,,,,,,,,,,,,,
United States of America,Master’s degree,Machine Learning Engineer,20+ years,Python,,SQL,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,Other,150000-199999,150000.0,199999.0
Spain,Master’s degree,Data Scientist,1-2 years,Python,R,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,40000-49999,40000.0,49999.0
Germany,Bachelor’s degree,Student,10-20 years,Python,,,,C++,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python,,,C,C++,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,Javascript,,Swift,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
United States of America,Bachelor’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,,,,,,,,,,,,30000-39999,30000.0,39999.0
India,No formal education past high school,Student,3-5 years,Python,,,,,,Javascript,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,C++,Java,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years,Python,,,,,,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,SQL,,,Java,Javascript,Julia,,,,,,Python,,,,,,,,,,,None,,,,
Other,Doctoral degree,Data Scientist,20+ years,Python,,SQL,,,Java,,,,Bash,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,100000-124999,100000.0,124999.0
United States of America,Master’s degree,Data Analyst,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Javascript,Linear or Logistic Regression,,,,,,,,,,,,30000-39999,30000.0,39999.0
Egypt,Bachelor’s degree,Other,10-20 years,Python,,SQL,,,,,,,,,,,SQL,,Decision Trees or Random Forests,,,,,,,,,,,15000-19999,15000.0,19999.0
Germany,Doctoral degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,R,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,50000-59999,50000.0,59999.0
Other,Doctoral degree,Currently not employed,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,None,,,,
Romania,Master’s degree,Data Scientist,1-2 years,Python,R,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,15000-19999,15000.0,19999.0
India,Master’s degree,Data Scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Master’s degree,Student,1-2 years,Python,R,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
Russia,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,25000-29999,25000.0,29999.0
United States of America,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,,,Other,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
India,Master’s degree,Other,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,10000-14999,10000.0,14999.0
India,Bachelor’s degree,Statistician,1-2 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,10000-14999,10000.0,14999.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,3-5 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,
United States of America,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,,,
United States of America,Doctoral degree,Data Scientist,20+ years,Python,R,SQL,,,,,,,Bash,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
United States of America,Doctoral degree,Other,20+ years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,300000-500000,300000.0,500000.0
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Bachelor’s degree,Product/Project Manager,10-20 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
Nigeria,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
Indonesia,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,Java,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,Other,,,
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,60000-69999,60000.0,69999.0
Germany,Bachelor’s degree,Student,10-20 years,Python,,,,C++,,,,,,,,Other,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,,,
Taiwan,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
Colombia,Professional degree,Data Analyst,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,10000-14999,10000.0,14999.0
India,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,
Nepal,Master’s degree,Currently not employed,1-2 years,Python,,SQL,C,,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
Italy,No formal education past high school,Currently not employed,10-20 years,,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,
Other,Bachelor’s degree,Student,5-10 years,Python,,,,C++,Java,,,,,MATLAB,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,Generative Adversarial Networks,,,,,,,
United States of America,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,C++,Java,,,,,,,,Python,,,,,,,,,,,,,90000-99999,90000.0,99999.0
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
Japan,Master’s degree,Product/Project Manager,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,150000-199999,150000.0,199999.0
United States of America,Master’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,,,
Republic of Korea,Professional degree,Data Analyst,5-10 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,50000-59999,50000.0,59999.0
Russia,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,Javascript,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bachelor’s degree,Data Engineer,10-20 years,,,SQL,,C++,,,,,,,,,C++,,,,,,,,,,,,,10000-14999,10000.0,14999.0
Australia,Master’s degree,Student,1-2 years,Python,,SQL,,,,,,,,MATLAB,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,,,
United States of America,Doctoral degree,Other,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,125000-149999,125000.0,149999.0
Chile,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,,,Javascript,,,,,,Other,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,Other,25000-29999,25000.0,29999.0
Japan,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Professional degree,Data Scientist,1-2 years,Python,R,SQL,,C++,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
United States of America,Master’s degree,Statistician,1-2 years,Python,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,40000-49999,40000.0,49999.0
United States of America,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,200000-249999,200000.0,249999.0
United States of America,Master’s degree,Student,3-5 years,Python,,,,C++,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,,,
United States of America,Bachelor’s degree,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Doctoral degree,Currently not employed,< 1 years,Python,R,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
Canada,Master’s degree,Student,1-2 years,Python,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Master’s degree,Product/Project Manager,20+ years,Python,,SQL,,,Java,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,125000-149999,125000.0,149999.0
India,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,,,
United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,,,,,Javascript,,,,,,Other,Other,,,,,,,,,,,,,,,
Kenya,Bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,None,,,,
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,C,,,,,,,,,,,,,,,
Italy,Master’s degree,Machine Learning Engineer,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,5000-7499,5000.0,7499.0
India,Bachelor’s degree,Data Engineer,3-5 years,Python,,SQL,,,Java,,,,Bash,,,,Python,,,,,,,,,Recurrent Neural Networks,,,,20000-24999,20000.0,24999.0
Spain,Master’s degree,Student,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,
United States of America,Master’s degree,Statistician,10-20 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,150000-199999,150000.0,199999.0
Japan,Master’s degree,Research Scientist,1-2 years,Python,,,C,C++,Java,,,,Bash,,,,C,,,,,,,,,,,,,,,
United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
Russia,Master’s degree,Data Analyst,1-2 years,Python,,,,C++,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,10000-14999,10000.0,14999.0
Turkey,Bachelor’s degree,Student,< 1 years,Python,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,< 1 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Germany,Doctoral degree,Business Analyst,20+ years,Python,R,SQL,C,C++,Java,,,,,,,,R,Linear or Logistic Regression,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,125000-149999,125000.0,149999.0
India,Bachelor’s degree,Data Analyst,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Master’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
United States of America,Master’s degree,Software Engineer,20+ years,Python,,SQL,,,,,,,Bash,,,,Python,,,,,,,,,,,None,,100000-124999,100000.0,124999.0
India,Master’s degree,Student,< 1 years,,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
United States of America,Master’s degree,Other,20+ years,Python,,SQL,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,150000-199999,150000.0,199999.0
India,Bachelor’s degree,Student,3-5 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,,,
Japan,Bachelor’s degree,Student,5-10 years,Python,,,C,C++,Java,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Master’s degree,Other,5-10 years,Python,,,,,Java,Javascript,,,,,,,C++,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,10000-14999,10000.0,14999.0
South Korea,Bachelor’s degree,Currently not employed,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,Other,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,,,SQL,C,C++,Java,,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,< 1 years,Python,,,,C++,,,,,,,,,C++,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Mexico,Master’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,25000-29999,25000.0,29999.0
China,Master’s degree,Student,3-5 years,Python,,,,,,,,,,,,,C,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
United States of America,Master’s degree,Business Analyst,3-5 years,Python,R,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,,,,,,,,,,,Other,60000-69999,60000.0,69999.0
Ireland,Master’s degree,Data Analyst,< 1 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,50000-59999,50000.0,59999.0
India,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Germany,Doctoral degree,Student,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,Other,,,
"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,20+ years,Python,,,C,,,,,,,MATLAB,,Other,Other,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,20000-24999,20000.0,24999.0
Spain,Master’s degree,Data Engineer,5-10 years,Python,R,,,,,,,,,,,Other,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,20000-24999,20000.0,24999.0
Sweden,Master’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,50000-59999,50000.0,59999.0
Spain,Doctoral degree,Other,10-20 years,Python,,SQL,,,Java,Javascript,,,Bash,,,Other,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,70000-79999,70000.0,79999.0
Nigeria,Master’s degree,Currently not employed,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Master’s degree,Data Analyst,3-5 years,,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,Evolutionary Approaches,,,,,,,,40000-49999,40000.0,49999.0
