Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24
United States of America,Master’s degree,Software Engineer,10-20 years,Python,,SQL,,,Java,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,Evolutionary Approaches,,,,Recurrent Neural Networks,,,,"60,000-69,999"
Nigeria,I prefer not to answer,Data Scientist,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,$0-999
France,I prefer not to answer,Currently not employed,20+ years,Python,,SQL,C,C++,Java,Javascript,,,Bash,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
France,Master’s degree,Research Scientist,3-5 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"50,000-59,999"
China,Bachelor’s degree,Business Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Master’s degree,Data Analyst,3-5 years,Python,,SQL,,C++,,,,Swift,Bash,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,,,Generative Adversarial Networks,,,,,"4,000-4,999"
Germany,Doctoral degree,Software Engineer,20+ years,,,SQL,,C++,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,"50,000-59,999"
Morocco,Master’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Spain,Doctoral degree,Currently not employed,5-10 years,Python,R,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,
India,Master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Master’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,
Belgium,Doctoral degree,Research Scientist,3-5 years,Python,,,,,,,,,Bash,,,Other,Python,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"30,000-39,999"
Other,Master’s degree,Business Analyst,3-5 years,,R,,,,,,,,,,,,R,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,$0-999
Germany,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"50,000-59,999"
Egypt,I prefer not to answer,Machine Learning Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Master’s degree,Data Analyst,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"40,000-49,999"
Russia,Doctoral degree,Research Scientist,3-5 years,Python,,SQL,,,,,,,,MATLAB,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"2,000-2,999"
India,Bachelor’s degree,Currently not employed,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
Other,Master’s degree,Software Engineer,5-10 years,Python,R,SQL,,C++,Java,Javascript,,,,MATLAB,,Other,Python,,,,,,,,,,,None,,$0-999
India,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Bachelor’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"5,000-7,499"
Russia,Master’s degree,Software Engineer,5-10 years,Python,,SQL,,,,,,,Bash,,,Other,Python,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"15,000-19,999"
Italy,Professional degree,Research Scientist,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
United States of America,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python,,SQL,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
United States of America,Bachelor’s degree,Data Analyst,3-5 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"100,000-124,999"
Spain,Doctoral degree,Data Scientist,1-2 years,Python,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
India,No formal education past high school,Currently not employed,20+ years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,
India,Doctoral degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
"Iran, Islamic Republic of...",Master’s degree,Data Scientist,3-5 years,Python,R,SQL,C,C++,Java,Javascript,,,,MATLAB,,,Python,,,,Bayesian Approaches,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"2,000-2,999"
Spain,Doctoral degree,Research Scientist,20+ years,Python,,SQL,C,C++,Java,,,,Bash,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"70,000-79,999"
United States of America,Master’s degree,Data Analyst,3-5 years,,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"80,000-89,999"
India,Bachelor’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"10,000-14,999"
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,10-20 years,Python,,,C,C++,,,,,,MATLAB,,,Python,,,,,Evolutionary Approaches,,,,,,,,"40,000-49,999"
United States of America,Master’s degree,Software Engineer,3-5 years,Python,R,SQL,,C++,,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,"150,000-199,999"
India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,
India,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"20,000-24,999"
Italy,Bachelor’s degree,Student,3-5 years,,,,,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,,,,,,,,,,Python,,,,,,,,,,,,,
United States of America,Master’s degree,Machine Learning Engineer,20+ years,Python,,SQL,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,Other,"150,000-199,999"
Spain,Master’s degree,Data Scientist,1-2 years,Python,R,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"40,000-49,999"
Germany,Bachelor’s degree,Student,10-20 years,Python,,,,C++,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python,,,C,C++,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,Javascript,,Swift,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
United States of America,Bachelor’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,,,,,,,,,,,,"30,000-39,999"
India,No formal education past high school,Student,3-5 years,Python,,,,,,Javascript,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,C++,Java,,,,,MATLAB,,,Python,,,,,,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years,Python,,,,,,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,,,
Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Python,R,SQL,,C++,Java,Javascript,,Swift,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,SQL,,,Java,Javascript,Julia,,,,,,Python,,,,,,,,,,,None,,
Other,Doctoral degree,Data Scientist,20+ years,Python,,SQL,,,Java,,,,Bash,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"100,000-124,999"
United States of America,Master’s degree,Data Analyst,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Javascript,Linear or Logistic Regression,,,,,,,,,,,,"30,000-39,999"
Egypt,Bachelor’s degree,Other,10-20 years,Python,,SQL,,,,,,,,,,,SQL,,Decision Trees or Random Forests,,,,,,,,,,,"15,000-19,999"
Germany,Doctoral degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,R,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,"50,000-59,999"
Other,Doctoral degree,Currently not employed,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,None,,
Tunisia,Professional degree,Research Scientist,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
Romania,Master’s degree,Data Scientist,1-2 years,Python,R,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"15,000-19,999"
India,Master’s degree,Data Scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Master’s degree,Student,1-2 years,Python,R,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,,Java,,,,,,,,Python,,,,,,,,,,,,,
Russia,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,"25,000-29,999"
United States of America,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,,,Other,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
India,Master’s degree,Other,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"10,000-14,999"
India,Bachelor’s degree,Statistician,1-2 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,
India,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"10,000-14,999"
India,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"4,000-4,999"
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,3-5 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
United States of America,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,
United States of America,Doctoral degree,Data Scientist,20+ years,Python,R,SQL,,,,,,,Bash,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
United States of America,Doctoral degree,Other,20+ years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"300,000-500,000"
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
India,Bachelor’s degree,Product/Project Manager,10-20 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,,,
Nigeria,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Indonesia,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,Java,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,Other,
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"60,000-69,999"
India,Master’s degree,Data Scientist,< 1 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,$0-999
Germany,Bachelor’s degree,Student,10-20 years,Python,,,,C++,,,,,,,,Other,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,
Taiwan,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,
Colombia,Professional degree,Data Analyst,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"10,000-14,999"
India,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,
Nepal,Master’s degree,Currently not employed,1-2 years,Python,,SQL,C,,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,
Italy,No formal education past high school,Currently not employed,10-20 years,,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Other,Bachelor’s degree,Student,5-10 years,Python,,,,C++,Java,,,,,MATLAB,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,Generative Adversarial Networks,,,,,
United States of America,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,C++,Java,,,,,,,,Python,,,,,,,,,,,,,"90,000-99,999"
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
Japan,Master’s degree,Product/Project Manager,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,"150,000-199,999"
United States of America,Master’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,
Republic of Korea,Professional degree,Data Analyst,5-10 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"50,000-59,999"
Russia,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,Javascript,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bachelor’s degree,Data Engineer,10-20 years,,,SQL,,C++,,,,,,,,,C++,,,,,,,,,,,,,"10,000-14,999"
Australia,Master’s degree,Student,1-2 years,Python,,SQL,,,,,,,,MATLAB,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,
United States of America,Doctoral degree,Other,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"125,000-149,999"
Chile,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,,,Javascript,,,,,,Other,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,Other,"25,000-29,999"
Japan,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Professional degree,Data Scientist,1-2 years,Python,R,SQL,,C++,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,$0-999
