Q3,Q4,Q5,Q6,Q8
India,Bachelor’s degree,Data Scientist,1-2 years,Python
United States of America,Master’s degree,Data Engineer,20+ years,Python
India,Master’s degree,Currently not employed,5-10 years,Python
India,Bachelor’s degree,Data Scientist,< 1 years,Python
Netherlands,Master’s degree,Other,5-10 years,None
Netherlands,Master’s degree,Software Engineer,5-10 years,Python
India,Master’s degree,Data Scientist,3-5 years,Python
India,Master’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Master’s degree,Student,1-2 years,Python
India,Doctoral degree,Research Scientist,20+ years,Python
Russia,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Other,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Japan,Bachelor’s degree,Currently not employed,1-2 years,Python
South Korea,Doctoral degree,Data Scientist,3-5 years,Python
United States of America,Doctoral degree,Data Scientist,20+ years,Python
Germany,Master’s degree,Student,5-10 years,Python
Japan,Some college/university study without earning a bachelor’s degree,Business Analyst,3-5 years,C++
Other,Professional degree,Data Scientist,1-2 years,Python
United States of America,Doctoral degree,Data Scientist,5-10 years,R
Tunisia,Doctoral degree,Research Scientist,10-20 years,Python
Other,Doctoral degree,Machine Learning Engineer,5-10 years,Python
India,Bachelor’s degree,Software Engineer,5-10 years,Python
Philippines,Bachelor’s degree,Student,< 1 years,Python
India,Master’s degree,Student,1-2 years,SQL
Morocco,Master’s degree,Other,3-5 years,Python
United States of America,Master’s degree,Data Scientist,10-20 years,Python
India,Professional degree,Currently not employed,3-5 years,Python
Canada,Master’s degree,Data Engineer,10-20 years,Python
Brazil,Bachelor’s degree,Student,5-10 years,Python
India,Master’s degree,Student,< 1 years,Python
Portugal,Doctoral degree,Data Engineer,10-20 years,Python
"Iran, Islamic Republic of...",Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
Portugal,Master’s degree,Student,1-2 years,Python
Other,I prefer not to answer,Student,1-2 years,Python
Philippines,Master’s degree,Software Engineer,10-20 years,R
Poland,Master’s degree,Currently not employed,< 1 years,SQL
India,Doctoral degree,Research Scientist,20+ years,Python
United States of America,Doctoral degree,Data Scientist,10-20 years,R
Greece,Doctoral degree,Research Scientist,10-20 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Business Analyst,3-5 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,SQL
India,Bachelor’s degree,Currently not employed,1-2 years,Python
Other,Doctoral degree,Research Scientist,20+ years,R
Brazil,Master’s degree,Machine Learning Engineer,10-20 years,Python
Greece,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Python
Portugal,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
China,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Python
Brazil,Bachelor’s degree,Data Engineer,3-5 years,Python
India,Professional degree,Other,< 1 years,Python
India,Master’s degree,Data Analyst,< 1 years,Python
Nigeria,Bachelor’s degree,Software Engineer,3-5 years,Python
Chile,Doctoral degree,Research Scientist,1-2 years,C++
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python
Sweden,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,Python
France,Master’s degree,Other,3-5 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Taiwan,Master’s degree,Data Analyst,1-2 years,Python
Switzerland,Doctoral degree,Research Scientist,20+ years,Python
Other,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,Python
India,Master’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,,
India,I prefer not to answer,Other,< 1 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
India,I prefer not to answer,Machine Learning Engineer,1-2 years,Python
Philippines,Doctoral degree,Research Scientist,20+ years,R
India,Bachelor’s degree,Other,< 1 years,Python
Pakistan,Master’s degree,Data Analyst,< 1 years,SQL
Other,Doctoral degree,Research Scientist,10-20 years,Python
Philippines,Bachelor’s degree,Product/Project Manager,1-2 years,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Other,,,,
Egypt,Professional degree,Product/Project Manager,3-5 years,Python
Other,Bachelor’s degree,Software Engineer,5-10 years,Python
India,Bachelor’s degree,Student,1-2 years,None
India,Master’s degree,Software Engineer,3-5 years,Python
Other,Master’s degree,Data Analyst,1-2 years,R
Singapore,Master’s degree,Currently not employed,5-10 years,Python
Mexico,Master’s degree,Data Scientist,5-10 years,Python
India,Master’s degree,Data Analyst,3-5 years,R
India,Master’s degree,Student,3-5 years,Python
Egypt,Professional degree,Software Engineer,3-5 years,Javascript
United States of America,Master’s degree,Product/Project Manager,5-10 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Product/Project Manager,5-10 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Research Scientist,1-2 years,Javascript
India,Bachelor’s degree,Student,1-2 years,Python
Japan,Doctoral degree,Product/Project Manager,20+ years,SQL
Egypt,Doctoral degree,Research Scientist,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,C++
South Africa,Doctoral degree,Other,1-2 years,Python
China,I prefer not to answer,Student,3-5 years,Python
India,Bachelor’s degree,Student,< 1 years,C
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Japan,,,,
Turkey,Professional degree,Data Engineer,10-20 years,C
India,Bachelor’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Julia
India,Bachelor’s degree,Business Analyst,1-2 years,Javascript
India,Master’s degree,Student,< 1 years,C++
Other,Doctoral degree,Data Scientist,20+ years,Python
Ukraine,Master’s degree,Data Scientist,5-10 years,Python
India,Bachelor’s degree,Software Engineer,10-20 years,Python
Poland,Master’s degree,Data Scientist,< 1 years,Python
Japan,Doctoral degree,Machine Learning Engineer,20+ years,Python
Spain,Master’s degree,Data Scientist,10-20 years,R
India,Bachelor’s degree,Student,1-2 years,Python
Egypt,Bachelor’s degree,Other,< 1 years,Python
Germany,Master’s degree,Data Scientist,3-5 years,Python
Canada,Master’s degree,Student,< 1 years,Python
India,Master’s degree,Other,3-5 years,Python
France,Master’s degree,Data Scientist,3-5 years,Python
Nigeria,Bachelor’s degree,Data Analyst,< 1 years,
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,5-10 years,Python
Spain,Master’s degree,Data Engineer,10-20 years,Python
United States of America,Doctoral degree,Data Analyst,5-10 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Japan,Doctoral degree,Other,< 1 years,Python
Turkey,Bachelor’s degree,Data Scientist,3-5 years,Python
Spain,No formal education past high school,Software Engineer,3-5 years,Python
India,Master’s degree,Data Scientist,3-5 years,Python
Netherlands,Master’s degree,Data Scientist,3-5 years,Python
India,Bachelor’s degree,,,
United States of America,Doctoral degree,Research Scientist,20+ years,Python
Germany,Bachelor’s degree,Software Engineer,10-20 years,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Netherlands,Master’s degree,Data Scientist,5-10 years,Python
United States of America,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Egypt,Bachelor’s degree,Other,1-2 years,C++
India,Bachelor’s degree,Currently not employed,1-2 years,R
Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Japan,Bachelor’s degree,Other,5-10 years,Python
India,Master’s degree,Product/Project Manager,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Argentina,Bachelor’s degree,Data Scientist,10-20 years,Python
Brazil,Master’s degree,Research Scientist,10-20 years,Python
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python
Brazil,Master’s degree,Business Analyst,3-5 years,SQL
India,,,,
United States of America,Bachelor’s degree,Student,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Other,< 1 years,Python
Russia,Master’s degree,Machine Learning Engineer,3-5 years,Python
Malaysia,Bachelor’s degree,Student,1-2 years,MATLAB
India,Master’s degree,Student,< 1 years,SQL
Taiwan,Master’s degree,Software Engineer,3-5 years,Python
Republic of Korea,No formal education past high school,Software Engineer,1-2 years,Java
India,Master’s degree,Currently not employed,1-2 years,R
United States of America,Master’s degree,Software Engineer,10-20 years,Python
Indonesia,Bachelor’s degree,Currently not employed,< 1 years,Python
United States of America,Master’s degree,Student,< 1 years,Python
Spain,Doctoral degree,Data Scientist,5-10 years,Python
Turkey,Bachelor’s degree,Software Engineer,5-10 years,Python
India,Bachelor’s degree,Data Analyst,5-10 years,
Japan,,,,
Nigeria,Master’s degree,Data Scientist,< 1 years,Python
Turkey,Some college/university study without earning a bachelor’s degree,Currently not employed,20+ years,Python
France,Master’s degree,,,
United States of America,Master’s degree,Machine Learning Engineer,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Mexico,Doctoral degree,Software Engineer,3-5 years,Python
Nigeria,Bachelor’s degree,Currently not employed,1-2 years,SQL
India,Master’s degree,Student,1-2 years,Python
Singapore,Master’s degree,Student,3-5 years,Python
United States of America,Bachelor’s degree,Other,3-5 years,Other
Israel,Master’s degree,Currently not employed,5-10 years,Python
Indonesia,Bachelor’s degree,Data Engineer,1-2 years,Python
China,Master’s degree,Student,3-5 years,Python
China,Master’s degree,Student,3-5 years,Python
Brazil,Master’s degree,Data Scientist,3-5 years,Python
France,Master’s degree,Software Engineer,3-5 years,Python
Italy,Bachelor’s degree,Student,1-2 years,Python
China,,,,
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Taiwan,Bachelor’s degree,Currently not employed,20+ years,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Python
South Korea,Bachelor’s degree,Student,3-5 years,Python
United States of America,Doctoral degree,Statistician,10-20 years,Python
Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years,C
India,Bachelor’s degree,Software Engineer,3-5 years,C
Malaysia,Doctoral degree,Research Scientist,5-10 years,R
India,Bachelor’s degree,Product/Project Manager,3-5 years,Python
Turkey,Bachelor’s degree,Data Scientist,20+ years,Python
Other,Bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Data Analyst,5-10 years,SQL
Poland,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Python
Egypt,Master’s degree,Research Scientist,< 1 years,Python
Russia,,,,
Brazil,Master’s degree,Software Engineer,10-20 years,Python
Brazil,Bachelor’s degree,Currently not employed,1-2 years,Python
Ukraine,Doctoral degree,Data Scientist,5-10 years,Python
India,Bachelor’s degree,Software Engineer,1-2 years,
India,Professional degree,Software Engineer,3-5 years,Python
Morocco,Master’s degree,Student,3-5 years,Python
India,Master’s degree,Student,1-2 years,Python
Brazil,Master’s degree,Data Analyst,5-10 years,Python
India,Bachelor’s degree,Business Analyst,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Taiwan,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,R
India,Bachelor’s degree,Student,< 1 years,Python
Argentina,Bachelor’s degree,Software Engineer,20+ years,Python
Netherlands,Master’s degree,Data Scientist,20+ years,Python
Turkey,Bachelor’s degree,Student,3-5 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
India,Master’s degree,Machine Learning Engineer,3-5 years,MATLAB
United States of America,Bachelor’s degree,Currently not employed,< 1 years,Python
Spain,I prefer not to answer,Other,1-2 years,Python
Portugal,Master’s degree,Data Analyst,10-20 years,SQL
United States of America,Doctoral degree,Student,3-5 years,Python
Philippines,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
