Q3,Q4,Q5,Q6,prog_lang,selected_lang
India,Bachelor’s degree,Software Engineer,< 1 years,Q7_Part_1,Python
"Iran, Islamic Republic of...",Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Japan,I prefer not to answer,Software Engineer,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Product/Project Manager,5-10 years,Q7_Part_1,Python
Colombia,Master’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
Italy,Some college/university study without earning a bachelor’s degree,Other,10-20 years,Q7_Part_1,Python
Colombia,Professional degree,Other,< 1 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Engineer,5-10 years,Q7_Part_1,Python
India,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Turkey,Doctoral degree,Product/Project Manager,5-10 years,Q7_Part_1,Python
Japan,Master’s degree,Business Analyst,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Other,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
Brazil,Master’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
United States of America,I prefer not to answer,Data Analyst,3-5 years,Q7_Part_1,Python
Poland,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,DBA/Database Engineer,< 1 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
Mexico,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Mexico,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
France,Bachelor’s degree,Other,5-10 years,Q7_Part_1,Python
Mexico,Doctoral degree,Business Analyst,10-20 years,Q7_Part_1,Python
India,Master’s degree,Other,10-20 years,Q7_Part_1,Python
India,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
Portugal,Professional degree,Student,1-2 years,Q7_Part_1,Python
Japan,Master’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Nepal,Master’s degree,Other,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
India,Doctoral degree,Research Scientist,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
Saudi Arabia,Master’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Singapore,Bachelor’s degree,Other,3-5 years,Q7_Part_1,Python
Mexico,Bachelor’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
France,Master’s degree,Product/Project Manager,3-5 years,Q7_Part_1,Python
Colombia,Professional degree,Data Scientist,< 1 years,Q7_Part_1,Python
Italy,Professional degree,Product/Project Manager,10-20 years,Q7_Part_1,Python
Viet Nam,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
Japan,Master’s degree,Business Analyst,3-5 years,Q7_Part_1,Python
India,Master’s degree,Other,5-10 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Product/Project Manager,3-5 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Saudi Arabia,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Engineer,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Russia,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Japan,Bachelor’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
South Korea,Doctoral degree,Data Scientist,3-5 years,Q7_Part_1,Python
United States of America,Doctoral degree,Data Scientist,20+ years,Q7_Part_1,Python
Germany,Master’s degree,Student,5-10 years,Q7_Part_1,Python
Japan,Some college/university study without earning a bachelor’s degree,Business Analyst,3-5 years,Q7_Part_1,Python
Other,Professional degree,Data Scientist,1-2 years,Q7_Part_1,Python
Tunisia,Doctoral degree,Research Scientist,10-20 years,Q7_Part_1,Python
Other,Doctoral degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
India,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Morocco,Master’s degree,Other,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
India,Professional degree,Currently not employed,3-5 years,Q7_Part_1,Python
Canada,Master’s degree,Data Engineer,10-20 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Student,5-10 years,Q7_Part_1,Python
India,Master’s degree,Student,< 1 years,Q7_Part_1,Python
Portugal,Doctoral degree,Data Engineer,10-20 years,Q7_Part_1,Python
"Iran, Islamic Republic of...",Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
Portugal,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Other,I prefer not to answer,Student,1-2 years,Q7_Part_1,Python
Poland,Master’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Doctoral degree,Research Scientist,20+ years,Q7_Part_1,Python
United States of America,Doctoral degree,Data Scientist,10-20 years,Q7_Part_1,Python
Greece,Doctoral degree,Research Scientist,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
Other,Doctoral degree,Research Scientist,20+ years,Q7_Part_1,Python
Brazil,Master’s degree,Machine Learning Engineer,10-20 years,Q7_Part_1,Python
Greece,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Portugal,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
China,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Data Engineer,3-5 years,Q7_Part_1,Python
India,Professional degree,Other,< 1 years,Q7_Part_1,Python
India,Master’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Chile,Doctoral degree,Research Scientist,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Q7_Part_1,Python
Sweden,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,Q7_Part_1,Python
France,Master’s degree,Other,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
Taiwan,Master’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Switzerland,Doctoral degree,Research Scientist,20+ years,Q7_Part_1,Python
Other,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,I prefer not to answer,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
Philippines,Doctoral degree,Research Scientist,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
Pakistan,Master’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
Other,Doctoral degree,Research Scientist,10-20 years,Q7_Part_1,Python
Philippines,Bachelor’s degree,Product/Project Manager,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Other,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
India,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Other,Master’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Singapore,Master’s degree,Currently not employed,5-10 years,Q7_Part_1,Python
Mexico,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,3-5 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Product/Project Manager,5-10 years,Q7_Part_1,Python
United States of America,Some college/university study without earning a bachelor’s degree,Research Scientist,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Japan,Doctoral degree,Product/Project Manager,20+ years,Q7_Part_1,Python
Egypt,Doctoral degree,Research Scientist,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
China,I prefer not to answer,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Turkey,Professional degree,Data Engineer,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Business Analyst,1-2 years,Q7_Part_1,Python
India,Master’s degree,Student,< 1 years,Q7_Part_1,Python
Other,Doctoral degree,Data Scientist,20+ years,Q7_Part_1,Python
Ukraine,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
Poland,Master’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
Japan,Doctoral degree,Machine Learning Engineer,20+ years,Q7_Part_1,Python
Spain,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Egypt,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
Germany,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Canada,Master’s degree,Student,< 1 years,Q7_Part_1,Python
India,Master’s degree,Other,3-5 years,Q7_Part_1,Python
France,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,5-10 years,Q7_Part_1,Python
Spain,Master’s degree,Data Engineer,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Japan,Doctoral degree,Other,< 1 years,Q7_Part_1,Python
Turkey,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Netherlands,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Germany,Bachelor’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Netherlands,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Japan,Bachelor’s degree,Other,5-10 years,Q7_Part_1,Python
India,Master’s degree,Product/Project Manager,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Argentina,Bachelor’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
Brazil,Master’s degree,Research Scientist,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
Russia,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
Malaysia,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Taiwan,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
India,Master’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
Spain,Doctoral degree,Data Scientist,5-10 years,Q7_Part_1,Python
Nigeria,Master’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
Turkey,Some college/university study without earning a bachelor’s degree,Currently not employed,20+ years,Q7_Part_1,Python
United States of America,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Mexico,Doctoral degree,Software Engineer,3-5 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
India,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Singapore,Master’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Other,3-5 years,Q7_Part_1,Python
Israel,Master’s degree,Currently not employed,5-10 years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,Data Engineer,1-2 years,Q7_Part_1,Python
China,Master’s degree,Student,3-5 years,Q7_Part_1,Python
China,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Brazil,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
France,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Italy,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Taiwan,Bachelor’s degree,Currently not employed,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
United States of America,Doctoral degree,Statistician,10-20 years,Q7_Part_1,Python
Malaysia,Doctoral degree,Research Scientist,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Product/Project Manager,3-5 years,Q7_Part_1,Python
Turkey,Bachelor’s degree,Data Scientist,20+ years,Q7_Part_1,Python
Other,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
Poland,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
Egypt,Master’s degree,Research Scientist,< 1 years,Q7_Part_1,Python
Brazil,Master’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
Ukraine,Doctoral degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
India,Professional degree,Software Engineer,3-5 years,Q7_Part_1,Python
Morocco,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Brazil,Master’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
Taiwan,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Netherlands,Master’s degree,Data Scientist,20+ years,Q7_Part_1,Python
Turkey,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
India,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
Spain,I prefer not to answer,Other,1-2 years,Q7_Part_1,Python
United States of America,Doctoral degree,Student,3-5 years,Q7_Part_1,Python
Philippines,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Argentina,Bachelor’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Malaysia,Doctoral degree,Research Scientist,20+ years,Q7_Part_1,Python
